상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
샹떼코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 광진구 화양동 111-130,127.0734909,37.54676851
코인수노래연습장,노량진점,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 동작구 노량진동 97-1,126.9436004,37.51296094
스타버스코인노래방,서울대2호점,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 봉천동 862-9,126.952178,37.48032924
풀코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 강동구 천호동 287-3,127.1282869,37.54963662
에코인테리어,,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,서울특별시 송파구 오금동 88-2,127.1339224,37.50661654
팝코인코즈,,소매,의복의류,여성의류전문점,,서울특별시 동대문구 청량리동 268,127.0455563,37.5808849
락코인노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 성북구 정릉동 400-25,127.0097527,37.60853121
뽀송뽀송빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 암사동 489-77,127.1347573,37.54891831
아름다운빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 하월곡동 104-112,127.0258143,37.60408761
콩쥐팥쥐운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 광진구 군자동 65-3,127.0749954,37.55414188
빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 1631-11,126.9627647,37.47597145
씨유수유빨래골,,소매,종합소매점,편의점,체인화 편의점,서울특별시 강북구 수유동 57-80,127.0179445,37.63068406
서울강서지역자활센터빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 방화동 851,126.8057099,37.57070977
그린월풀빨래방,2호점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 86-31,127.0924792,37.55806198
크린업셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 343-22,126.8457784,37.53064293
화이트운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 강동구 암사동 494,127.1298501,37.55048613
월풀빨래방불광동점,불광동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 대조동 6-9,126.9287108,37.61123825
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 회기동 3-235,127.0543277,37.59275016
동방세탁빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 방학동 642,127.0375586,37.66733754
빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 구로동 793-56,126.8878257,37.48613843
빨래마을,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 길동 374-9,127.1375934,37.53948699
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 금호동3가 1117,127.0213047,37.55148346
엄마손빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 도선동 324-2,127.0328128,37.56475159
월풀빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 성수동2가 219-29,127.058445,37.53644959
셀프24빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 갈현동 502-2,126.9157919,37.61873396
슈슈빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 창동 609-13,127.0402313,37.64374325
하얀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 종암동 23-64,127.0347243,37.59379886
셀프위시빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 문정동 50-5,127.1241998,37.48686566
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 월계동 947,127.0512607,37.62561351
셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 능동 234-36,127.0810759,37.55483812
셀프빨래방24시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 종암동 34-3,127.0339075,37.59479233
동신빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 공릉동 745,127.0772947,37.62828881
